/ 390 2 0 1319 8
z 460 2 1 1080 7
/ 625 2 0 1107 4
z 448 2 1 840 1
z 567 2 1 1067 7
/ 496 2 0 1196 2
/ 509 2 0 895 8
z 517 2 1 1291 9
/ 564 2 0 913 6
/ 443 2 0 881 6
/ 525 2 0 1365 8
z 495 2 1 1095 3
/ 411 2 0 989 6
/ 398 2 0 1374 6
z 386 2 1 917 1
/ 440 2 0 1220 4
/ 460 2 0 897 6
z 384 2 1 1210 1
/ 365 2 0 1110 8
z 445 2 1 1382 9
z 591 2 1 944 3
z 444 2 1 990 7
z 503 2 1 1072 7
z 508 2 1 1071 3
/ 460 2 0 1116 4
/ 470 2 0 1391 4
z 419 2 1 811 3
/ 1149 2 0 1006 8
/ 593 2 0 1303 4
z 370 2 1 1022 3
/ 503 2 0 842 6
/ 496 2 0 1053 2
/ 410 2 0 1283 4
z 453 2 1 862 9
z 532 2 1 1205 7
/ 451 2 0 1022 2
z 576 2 1 1261 9
/ 389 2 0 857 8
/ 680 2 0 1229 6
/ 526 2 0 962 6
z 475 2 1 938 9
z 580 2 1 1232 3
/ 492 2 0 1236 2
/ 562 2 0 1372 4
z 544 2 1 940 3
/ 454 2 0 1061 8
z 575 2 1 1249 1
/ 512 2 0 1379 8
z 406 2 1 1028 1
/ 416 2 0 1375 6
z 491 2 1 854 7
z 602 2 1 1207 9
z 541 2 1 1023 1
z 595 2 1 1037 7
z 488 2 1 1026 7
z 417 2 1 1204 1
z 488 2 1 1263 9
/ 411 2 0 1234 6
z 489 2 1 1067 7
/ 526 2 0 1269 4
z 467 2 1 1027 3
z 348 2 1 1346 3
z 340 2 1 990 3
/ 479 2 0 812 6
z 494 2 1 903 3
z 510 2 1 1375 7
/ 530 2 0 931 6
z 493 2 1 1401 7
/ 503 2 0 1167 6
z 431 2 1 1210 1
/ 583 2 0 989 2
/ 567 2 0 1357 6
z 435 2 1 1065 1
/ 777 2 0 1036 6
z 519 2 1 868 7
z 520 2 1 1138 7
z 492 2 1 831 3
/ 806 2 0 1092 4
/ 607 2 0 988 2
/ 704 2 0 916 2
/ 664 2 0 1331 8
/ 429 2 0 1036 8
z 457 2 1 1062 7
z 406 2 1 1140 3
/ 521 2 0 1130 6
/ 544 2 0 882 2
/ 456 2 0 1234 2
/ 502 2 0 1198 4
z 413 2 1 920 3
/ 418 2 0 1291 6
/ 445 2 0 1236 8
/ 444 2 1 1211 1
z 490 2 1 1188 1
/ 531 2 0 811 4
z 464 2 1 1292 1
/ 482 2 0 1294 4
z 479 2 1 1064 1
z 654 2 1 1292 3
/ 564 2 0 1282 8
z 479 2 1 1231 3
z 450 2 1 905 1
/ 458 2 0 865 4
z 385 2 1 1185 1
/ 439 2 0 941 8
z 409 2 1 831 7
z 433 2 0 1345 4
z 547 2 1 1133 7
/ 547 2 0 1361 2
z 486 2 1 1037 3
z 506 2 1 1107 9
z 393 2 0 893 2
/ 464 2 0 1140 4
z 490 2 1 1156 3
z 592 2 1 1361 9
z 506 2 1 1188 3
z 424 2 1 901 9
z 661 2 1 1223 9
z 507 2 1 1378 7
/ 520 2 0 1001 6
/ 462 2 0 1039 6
z 417 2 1 1023 1
z 389 2 1 1271 1
z 590 2 1 1226 7
z 491 2 1 1017 7
z 713 2 1 1223 9
z 464 2 1 1061 1
/ 488 2 0 1114 2
z 541 2 1 854 9
z 440 2 1 1222 7
/ 477 2 0 1120 2
/ 436 2 0 851 4
z 536 2 1 1013 3
/ 643 2 0 1152 8
z 409 2 1 1095 3
/ 411 2 0 1063 2
z 511 2 1 1223 7
/ 483 2 0 1171 4
z 391 2 0 895 2
z 543 2 1 1401 9
/ 573 2 0 1230 2
z 830 2 1 937 9
/ 507 2 0 1197 2
/ 439 2 0 1264 2
/ 366 2 0 909 2
/ 491 2 0 1099 6
/ 420 2 0 1142 2
z 488 2 1 829 9
/ 422 2 0 1354 4
z 432 2 0 1113 2
/ 362 2 0 1241 2
/ 532 2 0 968 4
z 469 2 1 810 3
z 485 2 1 1231 3
z 443 2 1 1315 3
/ 484 2 0 930 6
z 980 2 1 898 7
/ 464 2 0 919 6
/ 419 2 0 1029 6
z 377 2 1 1166 3
z 489 2 1 960 3
z 415 2 1 1243 1
/ 456 2 1 952 9
/ 379 2 0 806 8
z 482 2 1 813 1
/ 476 2 0 1054 2
z 476 2 1 1178 1
/ 577 2 0 1083 8
z 466 2 1 1213 3
/ 574 2 0 1138 4
z 579 2 1 1391 7
