z 415 2 1 1362 3
/ 446 2 0 1115 8
z 389 2 1 1240 3
/ 348 2 0 989 8
/ 473 2 1 917 9
z 531 2 1 1166 3
z 399 2 1 940 3
/ 479 2 0 1106 8
/ 535 2 1 1068 9
/ 835 2 0 1323 2
/ 601 2 0 805 4
/ 626 2 0 1000 4
/ 639 2 0 1005 2
/ 531 2 0 1291 6
z 591 2 1 1013 3
/ 638 2 0 857 8
z 637 2 1 1133 7
/ 464 2 0 814 6
/ 723 2 0 1202 4
/ 480 2 0 1247 8
z 447 2 1 1329 1
z 428 2 1 844 7
/ 639 2 0 1201 4
z 503 2 1 1085 9
z 606 2 1 929 9
z 597 2 1 1054 3
/ 579 2 0 857 6
/ 576 2 0 824 8
/ 720 2 0 1366 2
z 411 2 1 1304 1
z 523 2 1 1298 9
/ 466 2 0 1291 8
z 466 2 1 986 7
/ 550 2 0 1329 6
z 409 2 1 1111 9
z 571 2 1 1326 1
z 454 2 1 970 7
/ 505 2 0 917 4
/ 536 2 0 1341 6
z 562 2 1 1100 1
/ 499 2 0 954 2
/ 479 2 0 827 6
z 529 2 1 1378 7
/ 482 2 0 1310 8
/ 531 2 0 805 6
/ 492 2 0 1025 2
z 546 2 1 1323 3
/ 663 2 0 1220 4
/ 485 2 0 1072 4
/ 423 2 0 902 4
/ 550 2 0 1130 6
z 449 2 1 1320 3
z 521 2 1 1022 3
/ 421 2 0 1192 2
z 469 2 1 937 9
/ 529 2 0 1074 4
/ 535 2 0 1123 2
/ 447 2 0 1108 6
z 555 2 1 962 1
/ 556 2 0 1391 4
/ 594 2 0 840 8
z 747 2 1 1327 9
z 574 2 1 1203 7
z 450 2 1 839 9
z 523 2 1 856 7
/ 576 2 0 920 6
/ 605 2 0 1382 2
z 615 2 1 953 7
/ 447 2 0 1171 4
z 1054 2 0 962 6
/ 571 2 0 1158 2
z 481 2 1 1213 3
/ 469 2 0 809 8
/ 498 2 0 970 4
z 575 2 1 1313 1
z 526 2 1 1163 1
/ 499 2 0 1094 2
z 683 2 1 1168 3
z 639 2 1 1037 7
/ 632 2 0 1264 2
z 1002 2 1 1291 3
z 714 2 1 1316 7
/ 495 2 0 926 8
z 487 2 1 1211 1
/ 398 2 0 930 6
/ 461 2 0 834 6
/ 506 2 0 1177 2
/ 400 2 0 916 2
/ 473 2 0 1195 8
z 487 2 1 1137 9
z 464 2 1 1253 9
/ 473 2 0 1192 4
z 942 2 1 1058 1
z 646 2 1 844 7
z 524 2 1 807 3
/ 469 2 0 1229 8
z 684 2 1 831 1
z 735 2 1 1201 9
z 422 2 1 858 9
/ 532 2 0 1352 2
/ 498 2 0 1265 4
/ 441 2 0 940 4
/ 501 2 0 991 8
z 617 2 1 985 9
/ 602 2 0 1184 8
/ 636 2 0 1184 2
/ 459 2 0 1283 4
z 578 2 1 973 9
z 458 2 1 1223 9
/ 647 2 0 932 4
/ 458 2 0 1167 6
/ 393 2 0 1383 8
/ 405 2 0 1262 8
/ 422 2 0 1261 4
/ 381 2 0 1137 4
/ 390 2 0 902 2
z 540 2 1 947 9
/ 527 2 0 836 8
/ 421 2 0 959 8
/ 391 2 0 1277 4
z 458 2 1 1123 7
z 444 2 1 914 7
/ 536 2 0 933 6
z 686 2 1 1130 3
/ 665 2 0 934 8
/ 457 2 0 1335 8
/ 809 2 0 938 6
z 484 2 1 808 9
/ 519 2 0 1013 6
/ 397 2 0 1154 4
z 487 2 1 1049 3
z 644 2 1 1160 9
z 399 2 1 840 1
/ 549 2 0 882 2
/ 432 2 0 1029 4
z 599 2 1 1360 3
z 439 2 1 1322 9
z 405 2 0 897 2
z 1048 2 1 1207 9
z 653 2 1 1121 1
/ 508 2 0 1007 4
/ 457 2 0 1269 4
z 467 2 1 1006 1
z 488 2 1 1156 3
z 456 2 1 989 1
z 476 2 1 1071 9
/ 433 2 0 1166 2
z 519 2 0 1315 6
z 374 2 1 1056 3
/ 521 2 0 1032 2
/ 820 2 0 883 2
