/ 689 2 0 828 8
/ 466 2 0 1315 6
z 458 2 1 1267 3
z 500 2 1 1366 7
z 420 2 1 901 7
/ 512 2 0 1229 4
z 419 2 1 1307 3
/ 411 2 1 964 1
/ 479 2 0 1186 4
z 431 2 1 1343 9
z 399 2 1 1263 9
/ 480 2 0 1072 4
/ 440 2 0 1322 2
/ 377 2 0 1288 2
/ 423 2 0 931 6
/ 431 2 0 1084 8
z 607 2 1 1237 1
/ 555 2 0 1014 8
/ 504 2 0 1169 6
/ 499 2 0 857 6
z 773 2 1 1138 7
/ 499 2 0 1138 4
/ 355 2 0 1283 4
z 484 2 1 970 7
/ 499 2 0 1304 6
/ 469 2 0 959 8
/ 454 2 0 938 6
z 505 2 1 1075 3
/ 444 2 0 805 6
z 545 2 1 836 7
z 389 2 1 985 7
z 483 2 1 1159 9
z 701 2 1 1079 7
/ 358 2 0 1331 2
z 628 2 1 1300 1
/ 660 2 0 910 6
/ 377 2 0 988 6
/ 362 2 0 1192 6
/ 420 2 0 1371 6
/ 421 2 0 1039 6
/ 480 2 0 1273 8
z 525 2 1 917 3
z 676 2 1 1068 1
z 1626 2 1 958 7
/ 486 2 0 1230 8
z 841 2 1 1113 9
z 554 2 1 1253 9
/ 745 2 0 1382 6
/ 522 2 0 1184 2
/ 620 2 0 1318 2
z 785 2 1 1342 3
z 674 2 1 1223 7
/ 532 2 0 1171 6
z 471 2 1 1326 1
/ 466 2 0 1184 2
z 526 2 1 1174 7
z 462 2 1 1046 7
z 497 2 1 1140 3
z 372 2 1 940 3
/ 485 2 0 904 4
z 433 2 1 1095 7
z 398 2 1 914 7
/ 349 2 0 929 2
/ 689 2 0 1179 8
z 501 2 1 1162 9
/ 562 2 0 1319 8
/ 398 2 0 1051 8
z 660 2 1 1304 7
/ 538 2 0 865 4
z 982 2 1 1109 7
/ 422 2 0 1313 2
/ 411 2 0 882 2
/ 599 2 0 1274 6
/ 461 2 0 1234 6
z 483 2 1 945 3
/ 574 2 0 1265 4
/ 614 2 0 895 2
/ 430 2 0 1070 4
z 467 2 1 831 7
/ 458 2 0 1193 4
z 480 2 1 1006 7
z 394 2 1 1241 7
/ 471 2 0 987 6
z 381 2 1 1023 1
/ 415 2 0 1329 6
/ 543 2 0 1246 8
/ 402 2 0 1237 8
/ 474 2 0 1294 4
/ 553 2 0 946 2
/ 478 2 0 1365 8
/ 333 2 0 1158 2
z 602 2 1 898 7
/ 509 2 0 809 4
z 628 2 1 1199 7
/ 425 2 0 883 2
/ 542 2 0 1110 4
/ 439 2 0 996 8
/ 404 2 0 1198 8
/ 444 2 0 1137 4
z 530 2 1 1268 9
/ 376 2 1 1344 3
/ 467 2 0 958 2
z 529 2 1 1020 3
/ 412 2 0 1369 4
/ 461 2 0 879 4
/ 415 2 0 989 2
/ 523 2 0 989 8
z 486 2 1 1257 1
/ 399 2 0 1002 2
z 547 2 1 1378 7
z 476 2 1 1100 7
z 568 2 1 974 9
z 669 2 1 1391 3
/ 532 2 0 894 6
/ 544 2 0 1192 4
z 438 2 1 1129 1
/ 446 2 0 1103 4
z 558 2 1 937 1
z 973 2 1 846 9
z 547 2 1 1262 1
/ 512 2 0 1013 6
/ 474 2 0 1289 6
z 546 2 1 1133 3
/ 491 2 0 1346 2
z 471 2 1 1370 9
/ 516 2 0 1319 2
/ 448 2 0 1233 6
/ 503 2 0 967 2
/ 482 2 0 941 8
/ 415 2 0 876 6
z 424 2 1 1001 1
/ 474 2 0 939 6
z 491 2 1 1048 3
z 370 2 1 1176 3
z 392 2 1 1291 3
z 874 2 1 1165 1
z 534 2 1 1187 1
/ 494 2 0 1091 4
z 483 2 1 808 1
z 717 2 1 817 1
/ 427 2 0 899 6
/ 538 2 0 891 2
z 552 2 1 1037 7
z 463 2 1 1171 7
/ 734 2 0 1016 8
z 502 2 1 1052 1
z 447 2 1 1329 1
z 550 2 1 1054 7
/ 720 2 0 1276 2
/ 466 2 0 899 6
z 413 2 1 983 1
z 641 2 1 862 9
z 657 2 1 916 3
/ 516 2 0 1150 6
z 617 2 1 1142 1
z 432 2 1 1220 1
z 541 2 1 1310 9
/ 557 2 0 918 4
z 656 2 1 1197 9
/ 540 2 0 1210 2
/ 912 2 0 1282 4
z 546 2 1 1361 1
/ 636 2 0 1291 8
/ 874 2 0 1301 8
/ 503 2 0 805 4
z 575 2 1 947 9
z 689 2 1 1083 1
z 572 2 1 1065 3
z 1175 2 1 1185 3
z 513 2 1 1205 7
/ 687 2 0 840 4
/ 778 2 0 1026 8
/ 479 2 0 956 6
/ 487 2 0 1323 2
z 537 2 1 973 7
z 570 2 1 1064 1
z 528 2 1 1315 3
/ 509 2 0 903 4
/ 441 2 0 1199 2
/ 556 2 0 1383 8
/ 502 2 0 1293 4
z 903 2 1 905 1
/ 539 2 0 1074 8
z 698 2 1 1099 1
z 562 2 1 904 9
z 558 2 1 1177 3
z 578 2 1 851 3
z 556 2 1 1060 7
z 483 2 1 1107 9
z 554 2 1 987 1
z 432 2 1 894 3
z 531 2 1 1229 9
z 395 2 1 811 3
z 595 2 0 1322 8
z 527 2 1 1162 7
/ 419 2 0 962 6
/ 581 2 0 1075 8
